numero	f_enero	f_febrero	f_marzo	f_abril	f_mayo	f_junio	f_julio	f_agosto	f_septiembre	f_octubre	f_noviembre	f_diciembre	c_tlfn	n_trbs
1	965.4757	896.7706	871.5344	815.471692	679.80458	690.7938085	573.602253	474.957487	1003.564842	828.5847098	604.2796883	1963.888848	1	120
2	890.57	1089.0207	832.4118	955.115974	912.3515	790.2426635	692.2799635	572.4876865	1208.069128	970.050588	189.9186794	1659.538323	1	109
3	929.1457	872.9479	907.5154	734.809822	1714.11858	2073.846669	632.603795	536.579526	1116.793778	1304.88045	85.08548485	1363.151469	1	47
4	873.5344	1096.9266	1111.9926	786.625218	3000.14962	4635.821552	690.536434	569.874508	1204.026001	1432.660785	337.6238168	1495.551121	1	70
5	839.4341	872.3712	917.1444	639.032992	2658.63058	3939.022759	546.695241	450.734409	955.3415209	1787.303718	34.45135938	1192.378663	1	76
6	853.9031	951.9791	1187.5764	578.963652	5516.85688	9566.716749	485.034311	380.31661	831.7129278	1538.691866	675.330685	1384.680505	1	54
7	843.4716	1029.9068	893.1924	814.258732	876.33028	706.395993	613.614117	500.324369	1065.899562	734.5215467	872.9425995	1582.292419	1	65
8	873.97	1138.7784	946.6723	923.145189	354.67491	861.124308	258.53821	133.272586	387.8180857	809.1453052	998.6457039	1707.995524	1	94
9	846.869	1020.3988	921.7713	791.858159	1322.85661	1270.92014	698.702569	586.458701	1226.786226	1126.549774	714.7371984	2045.956798	1	44
10	787.2412	1058.3699	979.9677	737.029511	2315.05759	3396.799467	650.432979	534.01229	1132.363794	1033.466271	661.2281389	1992.447739	1	110
11	758.4853	1000.6179	665.6098	829.705614	1000.5787	692.204422	582.176417	472.108448	1009.631851	802.0594448	99.43017437	1430.649774	1	47
12	909.3471	1066.0354	802.902	967.72836	936.503215	684.4264225	584.3982415	467.1343475	1007.476467	781.2372281	754.7306904	2158.23469	1	91
13	862.7496	1045.9598	701.752	958.71076	892.29304	562.9875755	468.0851195	353.0295415	790.751116	813.7537091	79.67280014	1483.1768	1	59
14	943.797	1002.5258	1142.6622	745.005346	958.4975865	926.2744315	641.187676	530.909838	1120.388333	881.9833019	482.4541033	1972.464795	1	71
15	787.5071	1099.7899	811.1006	874.969658	893.3418145	893.759183	700.881319	579.90443	1223.197217	787.3771874	60.19551021	1634.90731	1	77
16	871.4787	984.3711	908.6759	787.904537	888.1075593	498.2203705	402.3577135	294.0768925	673.1453789	797.5431544	855.0056049	2429.717405	1	44
17	787.3559	1169.3245	831.979	932.45237	930.2779425	906.967828	700.746751	572.121056	1216.21328	908.9131545	198.631006	1773.342806	1	104
18	827.5388	1186.0233	867.3755	969.158065	962.5239163	875.991207	736.509532	606.046969	1281.830865	880.1546301	184.9932983	1316.486898	1	55
19	872.4303	1045.1951	943.2225	829.988575	922.7091188	715.7252445	619.7579115	504.7864505	1075.969988	781.0248232	183.006498	1314.500098	1	106
20	787.7564	1052.9203	565.7468	968.201024	843.656131	657.2417395	479.093596	363.272363	810.7732754	741.9291294	78.50960881	1210.003209	1	22
21	817.2279	947.752	1083.3281	597.482883	861.4477208	733.378491	507.587814	403.335094	874.5226967	826.5440448	555.8519581	1750.817724	1	47
22	860.2096	1073.1004	812.9011	919.956373	916.5418683	892.019117	718.278044	600.237	1258.486604	827.9018111	988.3363634	2440.771315	1	99
23	917.7642	978.2254	920.8081	821.128983	909.4816708	591.207564	490.253502	382.648708	838.984365	800.6053082	988.5712132	2441.006165	1	114
24	896.3517	960.7774	1019.1432	726.217476	900.622444	808.808699	627.618789	521.933275	1098.920071	839.699735	575.6789498	2028.113902	1	39
25	916.2512	944.5226	986.8914	748.245702	898.9777255	744.610007	643.822375	539.924889	1130.956277	871.5064048	850.0446063	2098.121834	1	29
26	832.2617	1123.5519	991.3254	840.758122	946.9742805	814.2626095	722.7138225	599.1231135	1261.942162	857.5209784	183.4917963	1431.569024	1	48
27	822.4108	987.7876	1116.0698	624.038614	887.5767035	986.590567	533.573426	424.91679	919.5002012	849.6275162	559.9835242	1808.060752	1	66
28	822.4281	1091.3745	998.2088	794.823584	926.708746	838.080114	704.356493	584.305298	1230.545155	894.5366472	768.2197871	1966.477587	1	76
29	879.6887	1009.3114	856.872	850.58306	899.11379	887.174371	753.817303	642.793049	1331.475186	808.5536047	466.5959224	1664.853722	1	104
30	819.6939	953.4297	599.1289	881.620127	813.4681568	596.4774305	506.3111015	401.4338345	871.5728759	718.7191696	692.2318576	1890.489658	1	76
